id,nome,acepcao,exemplo,exemploLibras,categoria,representacao,configuracaoMao
1,Belo Horizonte,Cidade Mineira e capital do estado.,Belo Horizonte é uma cidade Grande.,BELO HORIZONTE CIDADE GRANDE É.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro;Capital],[https://youtu.be/VL3_c2WY0fY],[[61;11]]
2,Rio de Janeiro,Cidade Fluminense e capital do estado.,No Rio de Janeiro tem o Cristo Redentor.,RIO DE JANEIRO CRISTO REDENTOR TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Fluminense;Município Fluminense;Capital],[https://youtu.be/GRypCMnSCCM;https://youtu.be/sLLnUVsItk0],[[7];[40]]
3,Paraisópolis,Cidade Mineira localizada ao sul do estado.,Paraisópolis é uma cidade boa.,PARAISÓPOLIS CIDADE BOA É ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/GOctbQeyeHM],[[11;62]]
4,Cristina,Cidade Mineira localizada ao sul do estado.,Cristina é uma boa cidade para morar.,CRISTINA CIDADE BOA MORAR.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/m2tddOSoLxw],[[51a]]
5,Delfim Moreira,Cidade Mineira localizada ao sul do estado.,Em Delfim Moreira tem belas cachoeiras.,DELFIN MOREIRA BELAS CACHOEIRAS TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/-0VSoveENoA],[[12;54]]
6,Marmelópolis,Cidade Mineira localizada ao sul do estado.,Marmelópolis tem montes imponentes.,MARMELÓPOLIS IMPONENTES MONTES TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Qea3D53kIHk],[[60;62]]
7,Pouso Alegre,Cidade Mineira localizada ao sul do estado.,Pouso Alegre é uma cidade do sul de Minas Gerais.,POUSO ALEGRE CIDADE SUL MINAS GERAIS SER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/oF_XJBOO9_w],[[53a]]
8,Conceição dos Ouros,Cidade Mineira localizada ao sul do estado.,Em Conceição dos Ouros tem os melhores biscoitos.,CONCEIÇÃO DOS OUROS BISCOITOS MELHORES TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/xeZCVWzpp9A],[[51a;35a]]
9,Baependi,Cidade Mineira localizada ao sul do estado.,Baependi significa rio do monstro marinho.,BAEPENDI RIO MONSTRO MARINHO SIGNIFICAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/j8npVMToVK4],[[62]]
10,Caxambu,Cidade Mineira localizada ao sul do estado.,Minha amiga nasceu em Caxambu,CAXAMBU AMIGA MINHA NASCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/0uB1dFtutik;https://youtu.be/yul4KSu3Lis],[[53b];[51a;15;61]]
11,Itanhandu,Cidade Mineira localizada ao sul do estado.,Itanhandu significa ema de pedra.,ITANHANDU EMA PEDRA SIGNIFICAR.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/h97NRqtayEM],[[38;12]]
12,São Sebastião do Rio Verde,Cidade Mineira localizada ao sul do estado.,São Sebastião do Rio Verde se localiza no vale do rio verde.,SÃO SEBASTIÃO DO RIO VERDE VALE RIO VERDE LOCALIZAR.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/vrtflnT_1UI],[[2]]
13,Brumadinho,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Em 2019 aconteceu a tragédia em Brumadinho,2019 BRUMADINHO TRAGÉDIA ACONTECER. ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/hM5_XclVx_8],[[61]]
14,Esmeraldas,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Meu irmão mora em Esmeraldas,ESMERALDAS IRMÃO MEU MORAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/RfFUQ08spXw],[[6;8a]]
15,Igarapé,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Igarapé significa caminho de canoas.,IGARAPÉ CANOAS CAMINHO NOME SIGNIFICAR .,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/eGw0M99mOaU;https://youtu.be/sB2baN481XY],[[38];[38;9;1;25;1;11;6]]
16,Mateus Leme,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Maria nasceu em Mateus Leme,MATEUS LEME M-A-R-I-A NASCER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/qUPjiyxYd2M],[[60;8a]]
17,Raposos,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Em Raposo tem a a paróquia mais antiga de  Minas Gerais,RAPOSOS PARÓQUIA MAIS ANTIGA TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/izwubW0Cq30],[[25]]
18,Uberaba,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Uberaba começa com a letra U,UBERABA NOME LETRA U COMEÇAR.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/N6_TCQ9kgDY],[[24]]
19,Araxá,Cidade Mineira localizada na região do Alto Paranaíba.,Araxá é uma estância hidromineral.,ARAXÁ ESTÂNCIA HIDROMINERAL SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/4c1lBtnQaIA],[[63]]
20,Contagem,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Contagem é perto de Belo Horizonte,CONTAGEM CIDADE PERTO BELO HORIZONTE SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/cRSXW0Ck45I],[[51b]]
21,Juatuba,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Juatuba significa sítio dos Juás.,JUATUBA PRAÇA TRÊS PODERES TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/NLO0EubilWA],[[38;47]]
22,Lagoa Santa,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Lagoa Santa fica no Estado de Minas Gerais,LAGOA SANTA ESTADO DE MINAS GERAIS ESTAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ZXLcskFyOlU],[[12;40]]
23,Poços de Caldas,Cidade Mineira localizada ao sul do estado.,Em Poços de Caldas tem diversão.,POÇOS DE CALDAS DIVERSÃO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/qeTryQ0FFwc],[[63]]
24,Ribeirão das Neves,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Onde fica Ribeirão das Neves?,ONDE RIBEIRÃO DAS NEVES LOCALIZAR?,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/BlLcz6HqyOI],[[27]]
25,São João Del Rei,Cidade Mineira localizada na região Campo das Vertentes.,São João Del Rei é uma cidade histórica,SÃO JOÃO DEL REI CIDADE HISTÓRICA SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Otw3_T62Upw],[[37a;44]]
26,Uberlândia,Cidade Mineira localizada na região do Triângulo Mineiro.,Você nasceu em Uberlândia?,UBERLÂNDIA VOCÊ NASCER?,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/XMdpqsjrd3g],[[27]]
27,Congonhas,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Congonhas tem pontos turísticos.,CONGONHAS PONTOS TURÍSTICOS TER?,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/h8QzvAxenFs],[[51a]]
28,Ponte Nova,Cidade Mineira localizada na região da Zona da Mata Mineira.,Ponte Nova está localizada na zona da mata de Minas Gerais.,PONTE NOVA ZONA DA MATA DE MINAS GERAIS LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/GtOBMtTw5Gw],[[24]]
29,Vitória,Cidade Capixaba localizada na Ilha de Vitória e capital do estado do Espírito Santo.,Qual a região de Vitória?,REGIÃO VITÓRIA QUAL?,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Capixaba;Município Capixaba;Capital],[https://youtu.be/slX7VHriruc],[[32]]
30,Itajubá,Cidade Mineira localizada ao sul do estado.,Você conhece Itajubá?,"ITAJUBÁ, VOCÊ CONHECER?",[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/xgZ3TaXD87w],[[38;64]]
31,Maria da Fé,Cidade Mineira localizada ao sul do estado.,Em Maria da Fé tem festa boa.,MARIA DA FÉ FESTA BOA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/8Jj4ZnC8Vek],[[60;54]]
32,Piranguinho,Cidade Mineira localizada ao sul do estado.,Piranguinho é a capital nacional do pé de moleque.,PIRANGUINHO CAPITAL PÉ DE MOLEQUE SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/DTIioZCdEYU],[[63;11]]
